node_id,node_label,node_type,carcinogen_class,iarc,Status,Version,source_seed,agent_entity_type,is_chemical_like,iarc_agent_name,iarc_group_raw,iarc_group_label,iarc_volume,iarc_year,iarc_casrn,iarc_source_url,iarc_source_last_checked,expansion_source,carcinogen_id,standard_node_id,srandard_node_id,display_label,preferred_query_name,iarc_group_normalized,curation_status,mixture_or_exposure_flag,endogenous_flag,carcinogen_class_normalized,carcinogen_class_source,pubchem_lookup_name,pubchem_cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,iupac_name,casrn,pubchem_synonyms,xlogp,tpsa,pubchem_match_status,pubchem_error,pubchem_source_url,chemont_kingdom,chemont_kingdom_id,chemont_superclass,chemont_superclass_id,chemont_class,chemont_class_id,chemont_subclass,chemont_subclass_id,chemont_direct_parent,chemont_direct_parent_id,chemont_alternative_parents,classyfire_match_status,classyfire_source_url,classyfire_reference_url,classyfire_error,chemont_class_bucket,classyfire_validated,norm_carcinogen_class,has_stable_identifier,iarc_group_valid,needs_manual_review,confidence_score
4ABP,4-Aminobiphenyl,Carcinogen,Aromatic_Amine,Group 1,1,0,node_type_carcinogen.csv,Chemical,True,,,,,,,,,,4ABP,4ABP,4ABP,4-Aminobiphenyl,4-Aminobiphenyl,Group 1,included,False,False,Aromatic_Amine,seed_csv,4-Aminobiphenyl,7102,C12H11N,169.22,,,"InChI=1S/C12H11N/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,13H2",DMVOXQPQNTYEKQ-UHFFFAOYSA-N,4-phenylaniline,92-67-1,"4-Aminobiphenyl; 92-67-1; 4-Phenylaniline; 4-Aminodiphenyl; 4-BIPHENYLAMINE; [1,1'-Biphenyl]-4-amine; biphenyl-4-amine; Xenylamine; p-Phenylaniline; p-Biphenylamine; 4-Biphenylylamine; p-Aminobiphenyl; p-Aminodiphenyl; p-Xenylamine; Biphenylamine; Paraaminodiphenyl; Xenylamin; 4-Amino-1,1'-biphenyl; 4-Aminodifenil; Aniline, p-phenyl-; 4-Aminobifenyl; 4-Bifenylamin; NSC 7660; (1,1'-Biphenyl)-4-amine; 1,1'-biphenyl-4-amine",2.9,26,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/7102,Organic compounds,CHEMONTID:0000000,Benzenoids,CHEMONTID:0002448,Benzene and substituted derivatives,CHEMONTID:0002279,Biphenyls and derivatives,CHEMONTID:0000041,Biphenyls and derivatives,CHEMONTID:0000041,Aniline and substituted anilines; Primary amines; Organopnictogen compounds; Hydrocarbon derivatives,matched,http://classyfire.wishartlab.com/entities/DMVOXQPQNTYEKQ-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0002279,,Aromatic_Amine,True,Aromatic_Amine,True,True,False,high
AFB1,Aflatoxin B1,Carcinogen,Mycotoxin,Group 1,1,0,node_type_carcinogen.csv,Chemical,True,,,,,,,,,,AFB1,AFB1,AFB1,Aflatoxin B1,Aflatoxin B1,Group 1,included,False,False,Mycotoxin,seed_csv,Aflatoxin B1,186907,C17H12O6,312.27,,,"InChI=1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3/t8-,17+/m0/s1",OQIQSTLJSLGHID-WNWIJWBNSA-N,"(3S,7R)-11-methoxy-6,8,19-trioxapentacyclo[10.7.0.02,9.03,7.013,17]nonadeca-1,4,9,11,13(17)-pentaene-16,18-dione",1162-65-8,"AFLATOXIN B1; 1162-65-8; AFB1; AFBI; NSC 529592; NSC-529592; HSDB 3453; CCRIS 12; BRN 1269174; 9N2N2Y55MH; CHEBI:2504; DTXSID9020035; NSC529592; (3S,7R)-11-methoxy-6,8,19-trioxapentacyclo[10.7.0.02,9.03,7.013,17]nonadeca-1,4,9,11,13(17)-pentaene-16,18-dione; 2,3,6aalpha,9aalpha-Tetrahydro-4-methoxycyclopenta(c)furo(3',2':4,5)furo(2,3-h)(1)benzopyran-1,11-dione; (6aR,9aS)-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromene-1,11-dione; Cyclopenta(c)furo(3',2':4,5)furo(2,3-h)(1)benzopyran-1,11-dione, 2,3,6a,9a-tetrahydro-4-methoxy-; Cyclopenta(c)furo(3',2':4,5)furo(2,3-h)(1)benzopyran-1,11-dione, 2,3,6a,9a-tetrahydro-4-methoxy-, (6aR,9aS)-; Cyclopenta(c)furo(3',2':4,5)furo(2,3-h)(1)benzopyran-1,11-dione, 2,3,6aalpha,9aalpha-tetrahydro-4-methoxy-; Cyclopenta(c)furo(3',2':4,5)furo(2,3-h)(1)benzopyran-1,11-dione, 2,3,6a,9a-tetrahydro-4-methoxy-, (6aR-cis)-; (6AR-CIS)-2,3,6A,9A-TETRAHYDRO-4-METHOXYCYCLOPENTA(C)FURO(3',2':4,5)FURO(2,3-H)(1)BENZOPYRAN-1,11-DIONE; Aflatoxin B(1); HSDB3453; (3S,7R)-11-methoxy-6,8,19-trioxapentacyclo(10.7.0.02,9.03,7.013,17)nonadeca-1,4,9,11,13(17)-pentaene-16,18-dione; (6aR,9aS)-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta(c)furo(3',2':4,5)furo(2,3-h)chromene-1,11-dione",1.6,71.1,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/186907,Organic compounds,CHEMONTID:0000000,Phenylpropanoids and polyketides,CHEMONTID:0000261,Coumarins and derivatives,CHEMONTID:0000145,Furanocoumarins,CHEMONTID:0000358,Difurocoumarocyclopentenones,CHEMONTID:0001532,1-benzopyrans; Coumarans; Aryl alkyl ketones; Anisoles; Pyranones and derivatives; Alkyl aryl ethers; Heteroaromatic compounds; Dihydrofurans; Lactones; Oxacyclic compounds; Acetals; Organic oxides; Hydrocarbon derivatives,matched,http://classyfire.wishartlab.com/entities/OQIQSTLJSLGHID-WNWIJWBNSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0000145,,,False,Mycotoxin,True,True,False,high
IARC_1_1_1_2_Tetrachloroethane,"1,1,1,2-Tetrachloroethane",Carcinogen,,Group 2B,1,,IARC Monographs,Unknown,True,"1,1,1,2-Tetrachloroethane",Group 2B,Possibly carcinogenic to humans,"41, Sup 7, 71, 106",2014,630-20-6,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,"1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloroethane",Group 2B,iarc_expanded,False,False,Organochlorine,classyfire,"1,1,1,2-Tetrachloroethane",12418,C2H2Cl4,167.8,,,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",QVLAWKAXOMEXPM-UHFFFAOYSA-N,"1,1,1,2-tetrachloroethane",630-20-6,"1,1,1,2-TETRACHLOROETHANE; 630-20-6; Ethane, 1,1,1,2-tetrachloro-; RCRA waste number U208; 1,1,1,2-Tetrachlorethane; NCI-C52459; 0S5MKE574X; DTXSID2021317; (CHLOROMETHYL)TRICHLOROMETHANE; DTXCID801317; HCC 130A; CHEBI:34024; F 130A; RefChem:906562; 211-135-1; MFCD00000807; 25322-20-7; RCRA waste no. U208; CCRIS 577; Tetrachloroethane, 1,1,1,2-; HSDB 4148; 1,1,1,2-Tetrachloroethane, analytical standard; EINECS 211-135-1; BRN 1733216; UNII-0S5MKE574X",2.7,,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/12418,Organic compounds,CHEMONTID:0000000,Organohalogen compounds,CHEMONTID:0000267,Organochlorides,CHEMONTID:0001516,,,Organochlorides,CHEMONTID:0001516,Hydrocarbon derivatives; Alkyl chlorides,matched,http://classyfire.wishartlab.com/entities/QVLAWKAXOMEXPM-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516,,Organochlorine,True,Organochlorine,True,True,False,high
IARC_1_1_1_Trichloroethane,"1,1,1-Trichloroethane",Carcinogen,,Group 2A,1,,IARC Monographs,Unknown,True,"1,1,1-Trichloroethane",Group 2A,Probably carcinogenic to humans,"20, Sup 7, 71, 130",2022 online,71-55-6,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,"1,1,1-Trichloroethane","1,1,1-Trichloroethane",Group 2A,iarc_expanded,False,False,Organochlorine,classyfire,"1,1,1-Trichloroethane",6278,C2H3Cl3,133.40,,,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,"1,1,1-trichloroethane",71-55-6,"1,1,1-TRICHLOROETHANE; Methylchloroform; 71-55-6; Chlorothene; Cleanite; Inhibisol; Chlorothene NU; Chlorothene VG; Aerothene TT; alpha-T; Methyl chloroform; Chlorotene; Chlorten; Solvent 111; Genklene LB; Methyltrichloromethane; Tafclean; Chlorothene SM; Ethane, 1,1,1-trichloro-; Ethana NU; alpha-Trichloroethane; 1,1,1-TCE; Three One A; Three One S; Chloroform, methyl-",2.4,,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/6278,Organic compounds,CHEMONTID:0000000,Organohalogen compounds,CHEMONTID:0000267,Organochlorides,CHEMONTID:0001516,,,Organochlorides,CHEMONTID:0001516,Hydrocarbon derivatives; Alkyl chlorides,matched,http://classyfire.wishartlab.com/entities/UOCLXMDMGBRAIB-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516,,Organochlorine,True,Organochlorine,True,True,False,high
IARC_1_1_2_2_Tetrachloroethane,"1,1,2,2-Tetrachloroethane",Carcinogen,,Group 2B,1,,IARC Monographs,Unknown,True,"1,1,2,2-Tetrachloroethane",Group 2B,Possibly carcinogenic to humans,"20, Sup 7, 71, 106",2014,79-34-5,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane",Group 2B,iarc_expanded,False,False,Organochlorine,classyfire,"1,1,2,2-Tetrachloroethane",6591,C2H2Cl4,167.8,,,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,QPFMBZIOSGYJDE-UHFFFAOYSA-N,"1,1,2,2-tetrachloroethane",79-34-5,"1,1,2,2-TETRACHLOROETHANE; 79-34-5; s-Tetrachloroethane; Acetylene tetrachloride; sym-Tetrachloroethane; Bonoform; Cellon; Ethane, 1,1,2,2-tetrachloro-; Westron; Tetrachlorethane; 1,1,2,2-Tetrachlorethane; 1,1,2,2-Tetrachloraethan; TCE (ambiguous); 1,1-Dichloro-2,2-dichloroethane; Tetrachlorure d'acetylene; RCRA waste number U209; NCI-C03554; 1,1,2,2-Tetracloroetano; 1,1,2,2-Czterochloroetan; 1,1,2,2-Tetrachloorethaan; DTXSID7021318; 1L6BI049XV; 1,1,2,2-Tetrachloro-Ethane; DTXCID201318; CHEBI:36026",2.4,,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/6591,Organic compounds,CHEMONTID:0000000,Organohalogen compounds,CHEMONTID:0000267,Organochlorides,CHEMONTID:0001516,,,Organochlorides,CHEMONTID:0001516,Hydrocarbon derivatives; Alkyl chlorides,matched,http://classyfire.wishartlab.com/entities/QPFMBZIOSGYJDE-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516,,Organochlorine,True,Organochlorine,True,True,False,high
IARC_1_1_2_Trichloroethane,"1,1,2-Trichloroethane",Carcinogen,,Group 3,0,,IARC Monographs,Unknown,True,"1,1,2-Trichloroethane",Group 3,Not classifiable as to its carcinogenicity to humans,"52, 71",1999,79-00-5,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,"1,1,2-Trichloroethane","1,1,2-Trichloroethane",Group 3,iarc_expanded,False,False,Organochlorine,classyfire,"1,1,2-Trichloroethane",6574,C2H3Cl3,133.40,,,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",UBOXGVDOUJQMTN-UHFFFAOYSA-N,"1,1,2-trichloroethane",79-00-5,"1,1,2-TRICHLOROETHANE; 79-00-5; Vinyltrichloride; Ethane, 1,1,2-trichloro-; beta-Trichloroethane; Vinyl trichloride; 1,2,2-Trichloroethane; 1,1,2-Trichlorethane; Ethane trichloride; beta-T; RCRA waste number U227; NCI-C04579; Trojchloroetan(1,1,2); 1,1,2-Trichloraethan; DTXSID5021380; 28E9ERN9WU; NSC-405074; DTXCID101380; CHEBI:36018; RefChem:70907; 201-166-9; .beta.-T; .beta.-Trichloroethane; NSC 405074; MFCD00000852",1.9,,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/6574,Organic compounds,CHEMONTID:0000000,Organohalogen compounds,CHEMONTID:0000267,Organochlorides,CHEMONTID:0001516,,,Organochlorides,CHEMONTID:0001516,Hydrocarbon derivatives; Alkyl chlorides,matched,http://classyfire.wishartlab.com/entities/UBOXGVDOUJQMTN-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516,,Organochlorine,True,Organochlorine,True,True,False,high
IARC_1_1_Dimethylhydrazine,"1,1-Dimethylhydrazine",Carcinogen,,Group 2B,1,,IARC Monographs,Unknown,True,"1,1-Dimethylhydrazine",Group 2B,Possibly carcinogenic to humans,"4, Sup 7, 71",1999,57-14-7,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,"1,1-Dimethylhydrazine","1,1-Dimethylhydrazine",Group 2B,iarc_expanded,False,False,Alkylhydrazines,chemont_class,"1,1-Dimethylhydrazine",5976,C2H8N2,60.10,,,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",RHUYHJGZWVXEHW-UHFFFAOYSA-N,"1,1-dimethylhydrazine",57-14-7,"1,1-DIMETHYLHYDRAZINE; 57-14-7; N,N-Dimethylhydrazine; Dimazine; Unsymmetrical dimethylhydrazine; gem-Dimethylhydrazine; UDMH; 1,1-Dimethylhydrazin; Unsym-dimethylhydrazine; Hydrazine, 1,1-dimethyl-; u-Dimethylhydrazine; Dimazin; uns-Dimethylhydrazine; asymmetric Dimethylhydrazine; as-Dimethyl hydrazine; RCRA waste number U098; unsymmetrical-Dimethylhydrazine; DTXSID1020516; asymmetric-Dimethylhydrazine; N,N-Dimetilidrazina; Dimethylhydrazine unsymmetrical; Niesymetryczna dwu metylohydrazyna; 4WPQ90N53J; NSC-60517; DTXCID50516",-0.5,29.3,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/5976,Organic compounds,CHEMONTID:0000000,Organic nitrogen compounds,CHEMONTID:0004707,Organonitrogen compounds,CHEMONTID:0000278,Hydrazines and derivatives,CHEMONTID:0000112,Alkylhydrazines,CHEMONTID:0004511,Organopnictogen compounds; Hydrocarbon derivatives,matched,http://classyfire.wishartlab.com/entities/RHUYHJGZWVXEHW-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0000278,,,True,Alkylhydrazines,True,True,False,high
IARC_1_2_3_Trichloropropane,"1,2,3-Trichloropropane",Carcinogen,,Group 2A,1,,IARC Monographs,Unknown,True,"1,2,3-Trichloropropane",Group 2A,Probably carcinogenic to humans,63,1995,96-18-4,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,"1,2,3-Trichloropropane","1,2,3-Trichloropropane",Group 2A,iarc_expanded,False,False,Organochlorine,classyfire,"1,2,3-Trichloropropane",7285,C3H5Cl3,147.43,,,"InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2",CFXQEHVMCRXUSD-UHFFFAOYSA-N,"1,2,3-trichloropropane",96-18-4,"1,2,3-TRICHLOROPROPANE; 96-18-4; Trichlorohydrin; Allyl trichloride; Glycerol trichlorohydrin; Propane, 1,2,3-trichloro-; Glyceryl trichlorohydrin; 1,2,3-Trichloro-propane; NCI-C60220; NSC 35403; DTXSID9021390; 3MJ7QCK0Z0; NSC-35403; DTXCID401390; NSC35403; RefChem:71424; 202-486-1; MFCD00000946; CAS-96-18-4; Trichloropropane, 1,2,3-; CCRIS 5874; HSDB 1340; Glycerin trichlorohydrin; EINECS 202-486-1; UNII-3MJ7QCK0Z0",1.8,,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/7285,Organic compounds,CHEMONTID:0000000,Organohalogen compounds,CHEMONTID:0000267,Organochlorides,CHEMONTID:0001516,,,Organochlorides,CHEMONTID:0001516,Hydrocarbon derivatives; Alkyl chlorides,matched,http://classyfire.wishartlab.com/entities/CFXQEHVMCRXUSD-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516,,Organochlorine,True,Organochlorine,True,True,False,high
IARC_1_2_3_Tris_chloromethoxy_propane,"1,2,3-Tris(chloromethoxy)propane",Carcinogen,,Group 3,0,,IARC Monographs,Unknown,True,"1,2,3-Tris(chloromethoxy)propane",Group 3,Not classifiable as to its carcinogenicity to humans,"15, Sup 7, 71",1999,38571-73-2,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,"1,2,3-Tris(chloromethoxy)propane","1,2,3-Tris(chloromethoxy)propane",Group 3,iarc_expanded,False,False,Organochlorine,classyfire,"1,2,3-Tris(chloromethoxy)propane",62896,C6H11Cl3O3,237.5,,,"InChI=1S/C6H11Cl3O3/c7-3-10-1-6(12-5-9)2-11-4-8/h6H,1-5H2",SWXSJBPKOPJPJL-UHFFFAOYSA-N,"1,2,3-tris(chloromethoxy)propane",38571-73-2,"1,2,3-Tris(chloromethoxy)propane; 38571-73-2; Tris-1,2,3-(chloromethoxy)propane; K9C2NE38WF; DTXSID0021412; RefChem:71443; DTXCID001412; Glycerol(tri(chloromethyl))ether; Propane, 1,2,3-tris(chloromethoxy)-; BRN 1702700; 1,2,3-tris[(chloromethyl)oxy]propane; UNII-K9C2NE38WF; 3-01-00-02591 (Beilstein Handbook Reference); SCHEMBL11425581; CHEBI:82547; C19544; 1,2,3-TRIS(CHLOROMETHOXY)PROPANE [IARC]; Q27156059",1.9,27.7,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/62896,Organic compounds,CHEMONTID:0000000,Lipids and lipid-like molecules,CHEMONTID:0000012,Glycerolipids,CHEMONTID:0000175,Triradylcglycerols,CHEMONTID:0003815,Trialkylglycerols,CHEMONTID:0004782,Dialkyl ethers; Organochlorides; Hydrocarbon derivatives; Alkyl chlorides,matched,http://classyfire.wishartlab.com/entities/SWXSJBPKOPJPJL-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0000175,,Organochlorine,True,Organochlorine,True,True,False,high
IARC_1_2_Bis_chloromethoxy_ethane,"1,2-Bis(chloromethoxy)ethane",Carcinogen,,Group 3,0,,IARC Monographs,Unknown,True,"1,2-Bis(chloromethoxy)ethane",Group 3,Not classifiable as to its carcinogenicity to humans,"15, Sup 7, 71",1999,13483-18-6,https://monographs.iarc.who.int/list-of-classifications,2026-04-29,iarc,IARC_1_2_Bis_chloromethoxy_ethane,IARC_1_2_Bis_chloromethoxy_ethane,IARC_1_2_Bis_chloromethoxy_ethane,"1,2-Bis(chloromethoxy)ethane","1,2-Bis(chloromethoxy)ethane",Group 3,iarc_expanded,False,False,Organochlorine,classyfire,"1,2-Bis(chloromethoxy)ethane",61632,C4H8Cl2O2,159.01,,,InChI=1S/C4H8Cl2O2/c5-3-7-1-2-8-4-6/h1-4H2,IDFLGSYEBJNWMK-UHFFFAOYSA-N,"1,2-bis(chloromethoxy)ethane",13483-18-6,"1,2-Bis(chloromethoxy)ethane; 13483-18-6; Bis-1,2-(chloromethoxy)ethane; Ethane, 1,2-bis(chloromethoxy)-; Ethylene glycol bis(chloromethyl) ether; Ethylene glycol bis(chloromethyl)ether; NSC 508881; BRN 1735727; 64W2G7H6SA; NSC-508881; DTXSID3020170; RefChem:71727; DTXCID50170; 236-791-6; 1,2-bis(Chloromethoxy)ethane (>90%); CCRIS 1870; HSDB 7105; EINECS 236-791-6; Ethylene glycol bis(chloromethyl) ether; NSC 508881; UNII-64W2G7H6SA; 1,2-bis[(chloromethyl)oxy]ethane; 1,2-Dichlormethoxyethan; WLN: G1O2O1G; 4-01-00-03050 (Beilstein Handbook Reference); Ethane,2-bis(chloromethoxy)-",1.3,18.5,matched,,https://pubchem.ncbi.nlm.nih.gov/compound/61632,Organic compounds,CHEMONTID:0000000,Organic oxygen compounds,CHEMONTID:0004603,Organooxygen compounds,CHEMONTID:0000323,Ethers,CHEMONTID:0000254,Dialkyl ethers,CHEMONTID:0001167,Organochlorides; Hydrocarbon derivatives; Alkyl chlorides,matched,http://classyfire.wishartlab.com/entities/IDFLGSYEBJNWMK-UHFFFAOYSA-N.json,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0000323,,Organochlorine,True,Organochlorine,True,True,False,high
