source_standard_node_id,source_srandard_node_id,source_node_id,source,predicate,target_standard_node_id,target_srandard_node_id,target_node_id,target,provenance
4ABP,4ABP,4ABP,4ABP,HAS_IARC_CLASS,Group 1,Group 1,Group 1,Group 1,seed/IARC
4ABP,4ABP,4ABP,4ABP,HAS_AGENT_CLASS,Aromatic_Amine,Aromatic_Amine,Aromatic_Amine,Aromatic_Amine,carcinogen_class_source:seed_csv
4ABP,4ABP,4ABP,4ABP,HAS_ENTITY_TYPE,Chemical,Chemical,Chemical,Chemical,IARC_entity_type_rules
4ABP,4ABP,4ABP,4ABP,SAME_AS,PubChem:7102,PubChem:7102,PubChem:7102,PubChem:7102,PubChem PUG-REST
4ABP,4ABP,4ABP,4ABP,HAS_CHEMONT_CLASS,Benzene and substituted derivatives,Benzene and substituted derivatives,Benzene and substituted derivatives,Benzene and substituted derivatives,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0002279
4ABP,4ABP,4ABP,4ABP,HAS_CHEMONT_SUPERCLASS,Benzenoids,Benzenoids,Benzenoids,Benzenoids,http://classyfire.wishartlab.com/entities/DMVOXQPQNTYEKQ-UHFFFAOYSA-N.json
4ABP,4ABP,4ABP,4ABP,HAS_CHEMONT_DIRECT_PARENT,Biphenyls and derivatives,Biphenyls and derivatives,Biphenyls and derivatives,Biphenyls and derivatives,http://classyfire.wishartlab.com/entities/DMVOXQPQNTYEKQ-UHFFFAOYSA-N.json
AFB1,AFB1,AFB1,AFB1,HAS_IARC_CLASS,Group 1,Group 1,Group 1,Group 1,seed/IARC
AFB1,AFB1,AFB1,AFB1,HAS_AGENT_CLASS,Mycotoxin,Mycotoxin,Mycotoxin,Mycotoxin,carcinogen_class_source:seed_csv
AFB1,AFB1,AFB1,AFB1,HAS_ENTITY_TYPE,Chemical,Chemical,Chemical,Chemical,IARC_entity_type_rules
AFB1,AFB1,AFB1,AFB1,SAME_AS,PubChem:186907,PubChem:186907,PubChem:186907,PubChem:186907,PubChem PUG-REST
AFB1,AFB1,AFB1,AFB1,HAS_CHEMONT_CLASS,Coumarins and derivatives,Coumarins and derivatives,Coumarins and derivatives,Coumarins and derivatives,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0000145
AFB1,AFB1,AFB1,AFB1,HAS_CHEMONT_SUPERCLASS,Phenylpropanoids and polyketides,Phenylpropanoids and polyketides,Phenylpropanoids and polyketides,Phenylpropanoids and polyketides,http://classyfire.wishartlab.com/entities/OQIQSTLJSLGHID-WNWIJWBNSA-N.json
AFB1,AFB1,AFB1,AFB1,HAS_CHEMONT_DIRECT_PARENT,Difurocoumarocyclopentenones,Difurocoumarocyclopentenones,Difurocoumarocyclopentenones,Difurocoumarocyclopentenones,http://classyfire.wishartlab.com/entities/OQIQSTLJSLGHID-WNWIJWBNSA-N.json
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,HAS_IARC_CLASS,Group 2B,Group 2B,Group 2B,Group 2B,https://monographs.iarc.who.int/list-of-classifications
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,HAS_AGENT_CLASS,Organochlorine,Organochlorine,Organochlorine,Organochlorine,carcinogen_class_source:classyfire
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,HAS_ENTITY_TYPE,Unknown,Unknown,Unknown,Unknown,IARC_entity_type_rules
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,SAME_AS,PubChem:12418,PubChem:12418,PubChem:12418,PubChem:12418,PubChem PUG-REST
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,HAS_CHEMONT_CLASS,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,HAS_CHEMONT_SUPERCLASS,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,http://classyfire.wishartlab.com/entities/QVLAWKAXOMEXPM-UHFFFAOYSA-N.json
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,HAS_CHEMONT_DIRECT_PARENT,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/entities/QVLAWKAXOMEXPM-UHFFFAOYSA-N.json
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,HAS_IARC_CLASS,Group 2A,Group 2A,Group 2A,Group 2A,https://monographs.iarc.who.int/list-of-classifications
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,HAS_AGENT_CLASS,Organochlorine,Organochlorine,Organochlorine,Organochlorine,carcinogen_class_source:classyfire
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,HAS_ENTITY_TYPE,Unknown,Unknown,Unknown,Unknown,IARC_entity_type_rules
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,SAME_AS,PubChem:6278,PubChem:6278,PubChem:6278,PubChem:6278,PubChem PUG-REST
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,HAS_CHEMONT_CLASS,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,HAS_CHEMONT_SUPERCLASS,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,http://classyfire.wishartlab.com/entities/UOCLXMDMGBRAIB-UHFFFAOYSA-N.json
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,HAS_CHEMONT_DIRECT_PARENT,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/entities/UOCLXMDMGBRAIB-UHFFFAOYSA-N.json
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,HAS_IARC_CLASS,Group 2B,Group 2B,Group 2B,Group 2B,https://monographs.iarc.who.int/list-of-classifications
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,HAS_AGENT_CLASS,Organochlorine,Organochlorine,Organochlorine,Organochlorine,carcinogen_class_source:classyfire
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,HAS_ENTITY_TYPE,Unknown,Unknown,Unknown,Unknown,IARC_entity_type_rules
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,SAME_AS,PubChem:6591,PubChem:6591,PubChem:6591,PubChem:6591,PubChem PUG-REST
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,HAS_CHEMONT_CLASS,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,HAS_CHEMONT_SUPERCLASS,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,http://classyfire.wishartlab.com/entities/QPFMBZIOSGYJDE-UHFFFAOYSA-N.json
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,HAS_CHEMONT_DIRECT_PARENT,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/entities/QPFMBZIOSGYJDE-UHFFFAOYSA-N.json
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,HAS_IARC_CLASS,Group 3,Group 3,Group 3,Group 3,https://monographs.iarc.who.int/list-of-classifications
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,HAS_AGENT_CLASS,Organochlorine,Organochlorine,Organochlorine,Organochlorine,carcinogen_class_source:classyfire
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,HAS_ENTITY_TYPE,Unknown,Unknown,Unknown,Unknown,IARC_entity_type_rules
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,SAME_AS,PubChem:6574,PubChem:6574,PubChem:6574,PubChem:6574,PubChem PUG-REST
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,HAS_CHEMONT_CLASS,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,HAS_CHEMONT_SUPERCLASS,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,http://classyfire.wishartlab.com/entities/UBOXGVDOUJQMTN-UHFFFAOYSA-N.json
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,HAS_CHEMONT_DIRECT_PARENT,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/entities/UBOXGVDOUJQMTN-UHFFFAOYSA-N.json
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,HAS_IARC_CLASS,Group 2B,Group 2B,Group 2B,Group 2B,https://monographs.iarc.who.int/list-of-classifications
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,HAS_AGENT_CLASS,Alkylhydrazines,Alkylhydrazines,Alkylhydrazines,Alkylhydrazines,carcinogen_class_source:chemont_class
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,HAS_ENTITY_TYPE,Unknown,Unknown,Unknown,Unknown,IARC_entity_type_rules
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,SAME_AS,PubChem:5976,PubChem:5976,PubChem:5976,PubChem:5976,PubChem PUG-REST
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,HAS_CHEMONT_CLASS,Organonitrogen compounds,Organonitrogen compounds,Organonitrogen compounds,Organonitrogen compounds,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0000278
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,HAS_CHEMONT_SUPERCLASS,Organic nitrogen compounds,Organic nitrogen compounds,Organic nitrogen compounds,Organic nitrogen compounds,http://classyfire.wishartlab.com/entities/RHUYHJGZWVXEHW-UHFFFAOYSA-N.json
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,HAS_CHEMONT_DIRECT_PARENT,Alkylhydrazines,Alkylhydrazines,Alkylhydrazines,Alkylhydrazines,http://classyfire.wishartlab.com/entities/RHUYHJGZWVXEHW-UHFFFAOYSA-N.json
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,HAS_IARC_CLASS,Group 2A,Group 2A,Group 2A,Group 2A,https://monographs.iarc.who.int/list-of-classifications
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,HAS_AGENT_CLASS,Organochlorine,Organochlorine,Organochlorine,Organochlorine,carcinogen_class_source:classyfire
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,HAS_ENTITY_TYPE,Unknown,Unknown,Unknown,Unknown,IARC_entity_type_rules
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,SAME_AS,PubChem:7285,PubChem:7285,PubChem:7285,PubChem:7285,PubChem PUG-REST
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,HAS_CHEMONT_CLASS,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/tax_nodes/CHEMONTID:0001516
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,HAS_CHEMONT_SUPERCLASS,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,Organohalogen compounds,http://classyfire.wishartlab.com/entities/CFXQEHVMCRXUSD-UHFFFAOYSA-N.json
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,HAS_CHEMONT_DIRECT_PARENT,Organochlorides,Organochlorides,Organochlorides,Organochlorides,http://classyfire.wishartlab.com/entities/CFXQEHVMCRXUSD-UHFFFAOYSA-N.json
IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,HAS_IARC_CLASS,Group 3,Group 3,Group 3,Group 3,https://monographs.iarc.who.int/list-of-classifications
IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,HAS_AGENT_CLASS,Organochlorine,Organochlorine,Organochlorine,Organochlorine,carcinogen_class_source:classyfire
