standard_node_id,srandard_node_id,node_id,node_label,node_type,id,label,type,agent_entity_type,norm_carcinogen_class,carcinogen_class_normalized,carcinogen_class_source,class,class_source,chemont_class,chemont_superclass,chemont_kingdom,iarc_group,pubchem_cid,inchikey,casrn
4ABP,4ABP,4ABP,4-Aminobiphenyl,Carcinogen,4ABP,4-Aminobiphenyl,Carcinogen,Chemical,Aromatic_Amine,Aromatic_Amine,seed_csv,Aromatic_Amine,seed_csv,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 1,7102,DMVOXQPQNTYEKQ-UHFFFAOYSA-N,92-67-1
AFB1,AFB1,AFB1,Aflatoxin B1,Carcinogen,AFB1,Aflatoxin B1,Carcinogen,Chemical,Mycotoxin,Mycotoxin,seed_csv,Mycotoxin,seed_csv,Coumarins and derivatives,Phenylpropanoids and polyketides,Organic compounds,Group 1,186907,OQIQSTLJSLGHID-WNWIJWBNSA-N,1162-65-8
IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,IARC_1_1_1_2_Tetrachloroethane,"1,1,1,2-Tetrachloroethane",Carcinogen,IARC_1_1_1_2_Tetrachloroethane,"1,1,1,2-Tetrachloroethane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 2B,12418,QVLAWKAXOMEXPM-UHFFFAOYSA-N,630-20-6
IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,IARC_1_1_1_Trichloroethane,"1,1,1-Trichloroethane",Carcinogen,IARC_1_1_1_Trichloroethane,"1,1,1-Trichloroethane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 2A,6278,UOCLXMDMGBRAIB-UHFFFAOYSA-N,71-55-6
IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,IARC_1_1_2_2_Tetrachloroethane,"1,1,2,2-Tetrachloroethane",Carcinogen,IARC_1_1_2_2_Tetrachloroethane,"1,1,2,2-Tetrachloroethane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 2B,6591,QPFMBZIOSGYJDE-UHFFFAOYSA-N,79-34-5
IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,IARC_1_1_2_Trichloroethane,"1,1,2-Trichloroethane",Carcinogen,IARC_1_1_2_Trichloroethane,"1,1,2-Trichloroethane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 3,6574,UBOXGVDOUJQMTN-UHFFFAOYSA-N,79-00-5
IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,IARC_1_1_Dimethylhydrazine,"1,1-Dimethylhydrazine",Carcinogen,IARC_1_1_Dimethylhydrazine,"1,1-Dimethylhydrazine",Carcinogen,Unknown,Alkylhydrazines,Alkylhydrazines,chemont_class,Alkylhydrazines,chemont_class,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,5976,RHUYHJGZWVXEHW-UHFFFAOYSA-N,57-14-7
IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,IARC_1_2_3_Trichloropropane,"1,2,3-Trichloropropane",Carcinogen,IARC_1_2_3_Trichloropropane,"1,2,3-Trichloropropane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 2A,7285,CFXQEHVMCRXUSD-UHFFFAOYSA-N,96-18-4
IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,IARC_1_2_3_Tris_chloromethoxy_propane,"1,2,3-Tris(chloromethoxy)propane",Carcinogen,IARC_1_2_3_Tris_chloromethoxy_propane,"1,2,3-Tris(chloromethoxy)propane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Glycerolipids,Lipids and lipid-like molecules,Organic compounds,Group 3,62896,SWXSJBPKOPJPJL-UHFFFAOYSA-N,38571-73-2
IARC_1_2_Bis_chloromethoxy_ethane,IARC_1_2_Bis_chloromethoxy_ethane,IARC_1_2_Bis_chloromethoxy_ethane,"1,2-Bis(chloromethoxy)ethane",Carcinogen,IARC_1_2_Bis_chloromethoxy_ethane,"1,2-Bis(chloromethoxy)ethane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organooxygen compounds,Organic oxygen compounds,Organic compounds,Group 3,61632,IDFLGSYEBJNWMK-UHFFFAOYSA-N,13483-18-6
IARC_1_2_Diamino_4_nitrobenzene,IARC_1_2_Diamino_4_nitrobenzene,IARC_1_2_Diamino_4_nitrobenzene,"1,2-Diamino-4-nitrobenzene",Carcinogen,IARC_1_2_Diamino_4_nitrobenzene,"1,2-Diamino-4-nitrobenzene",Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,5111791,RAUWPNXIALNKQM-UHFFFAOYSA-N,99-56-9
IARC_1_2_Dibromo_3_chloropropane,IARC_1_2_Dibromo_3_chloropropane,IARC_1_2_Dibromo_3_chloropropane,"1,2-Dibromo-3-chloropropane",Carcinogen,IARC_1_2_Dibromo_3_chloropropane,"1,2-Dibromo-3-chloropropane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 2B,7280,WBEJYOJJBDISQU-UHFFFAOYSA-N,96-12-8
IARC_1_2_Dichloroethane,IARC_1_2_Dichloroethane,IARC_1_2_Dichloroethane,"1,2-Dichloroethane",Carcinogen,IARC_1_2_Dichloroethane,"1,2-Dichloroethane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 2B,11,WSLDOOZREJYCGB-UHFFFAOYSA-N,107-06-2
IARC_1_2_Dichloropropane,IARC_1_2_Dichloropropane,IARC_1_2_Dichloropropane,"1,2-Dichloropropane",Carcinogen,IARC_1_2_Dichloropropane,"1,2-Dichloropropane",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 1,6564,KNKRKFALVUDBJE-UHFFFAOYSA-N,78-87-5
IARC_1_2_Diethylhydrazine,IARC_1_2_Diethylhydrazine,IARC_1_2_Diethylhydrazine,"1,2-Diethylhydrazine",Carcinogen,IARC_1_2_Diethylhydrazine,"1,2-Diethylhydrazine",Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 2B,,,
IARC_1_2_Dimethylhydrazine,IARC_1_2_Dimethylhydrazine,IARC_1_2_Dimethylhydrazine,"1,2-Dimethylhydrazine",Carcinogen,IARC_1_2_Dimethylhydrazine,"1,2-Dimethylhydrazine",Carcinogen,Unknown,Alkylhydrazines,Alkylhydrazines,chemont_class,Alkylhydrazines,chemont_class,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2A,1322,DIIIISSCIXVANO-UHFFFAOYSA-N,540-73-8
IARC_1_2_Epoxybutane,IARC_1_2_Epoxybutane,IARC_1_2_Epoxybutane,"1,2-Epoxybutane",Carcinogen,IARC_1_2_Epoxybutane,"1,2-Epoxybutane",Carcinogen,Unknown,Alkylating,Alkylating,classyfire,Alkylating,classyfire,Epoxides,Organoheterocyclic compounds,Organic compounds,Group 2B,7834,RBACIKXCRWGCBB-UHFFFAOYSA-N,106-88-7
IARC_1_3_Butadiene,IARC_1_3_Butadiene,IARC_1_3_Butadiene,"1,3-Butadiene",Carcinogen,IARC_1_3_Butadiene,"1,3-Butadiene",Carcinogen,Unknown,Alkadienes,Alkadienes,chemont_class,Alkadienes,chemont_class,Unsaturated hydrocarbons,Hydrocarbons,Organic compounds,Group 1,7845,KAKZBPTYRLMSJV-UHFFFAOYSA-N,106-99-0
